CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0065,0.9999999455874635,C0028,0.9999999431353945,C0156,0.9999999429097579
C0002,C0034,0.9999997896390372,C0003,0.9999997617865415,C0030,0.9999997426105512
C0003,C0136,0.9999998738744849,C0075,0.9999998569183203,C0030,0.999999855045049
C0004,C0175,0.9999999636917314,C0165,0.9999999557780385,C0039,0.9999999535229368
C0005,C0065,0.9999998672978477,C0102,0.999999865740039,C0028,0.9999998653658082
C0006,C0051,0.9999999561432626,C0188,0.9999999555787776,C0054,0.9999999535707185
C0007,C0082,0.9999999141177297,C0099,0.9999999134504306,C0054,0.9999999104053988
C0008,C0075,0.9999999524612875,C0113,0.999999944927253,C0165,0.9999999394652695
C0009,C0087,0.9999993663160227,C0046,0.9999993616659612,C0102,0.9999993615482217
C0010,C0049,0.9999996741872684,C0091,0.9999995921568353,C0134,0.9999992458552933
C0011,C0065,0.999999954833263,C0028,0.9999999527325595,C0143,0.9999999503166163
C0012,C0156,0.9999999725182798,C0065,0.9999999672858358,C0068,0.999999965482496
C0013,C0054,0.9999999782703181,C0082,0.9999999766951819,C0059,0.999999975645848
C0014,C0110,0.9999957800646392,C0091,0.9999950206893058,C0109,0.99999496084231
C0015,C0123,0.9999998095419269,C0065,0.9999996160245084,C0028,0.9999996140363526
C0016,C0141,0.9999999609774544,C0096,0.9999999516970604,C0023,0.9999999390776501
C0017,C0165,0.9999999652678647,C0169,0.9999999535297435,C0004,0.9999999529539673
C0018,C0156,0.9999999648851572,C0041,0.9999999646191428,C0045,0.9999999628208441
C0019,C0136,0.9999998574108615,C0075,0.9999998506601993,C0003,0.9999998225824838
C0020,C0130,0.9999998298120051,C0104,0.9999993989755019,C0087,0.9999993977802623
C0021,C0099,0.9999999718471089,C0104,0.9999999698961684,C0082,0.9999999693170569
C0022,C0104,0.999999964914104,C0099,0.9999999612992793,C0163,0.9999999596517158
C0023,C0096,0.9999999645145768,C0051,0.9999999614636345,C0141,0.9999999598312235
C0024,C0045,0.9999999473861242,C0041,0.9999999415791757,C0018,0.9999999355492352
C0025,C0136,0.9999997642967305,C0075,0.9999997575840224,C0003,0.9999997293704511
C0026,C0087,0.9999999475915713,C0102,0.999999946072771,C0046,0.9999999445051044
C0027,C0075,0.9999999037506323,C0008,0.9999998964809838,C0113,0.9999998962063696
C0028,C0065,0.9999999807285664,C0143,0.9999999745464434,C0145,0.9999999727880984
C0029,C0109,0.9999997996729266,C0034,0.9999997879938655,C0134,0.9999997043054096
C0030,C0136,0.9999998731791248,C0075,0.9999998599568245,C0003,0.999999855045049
C0031,C0136,0.9999998434462087,C0075,0.9999998411749288,C0008,0.9999998019100188
C0032,C0049,0.9999987990533724,C0010,0.9999986286605826,C0111,0.9999985365486511
C0033,C0151,0.999957755703406,C0077,0.9999483147381535,C0121,0.9999474755772414
C0034,C0109,0.9999998854565103,C0003,0.9999998018201463,C0002,0.9999997896390372
C0035,C0045,0.9999999105207011,C0041,0.9999999043440045,C0018,0.999999898426928
C0036,C0175,0.9999998425640968,C0004,0.99999984017203,C0162,0.9999998320144733
C0037,C0087,0.9999999601217611,C0163,0.999999957361902,C0104,0.9999999557988362
C0038,C0075,0.9999999160856466,C0136,0.9999999021249866,C0008,0.9999998942807323
C0039,C0175,0.9999999574649358,C0004,0.9999999535229368,C0162,0.9999999472249153
C0040,C0141,0.9999999638252324,C0096,0.9999999480537296,C0196,0.9999999419656086
C0041,C0156,0.9999999755813945,C0068,0.9999999717445941,C0045,0.9999999698324606
C0042,C0141,0.9999999084700112,C0096,0.9999998904005732,C0196,0.9999998892623086
C0043,C0034,0.9999995303865955,C0003,0.9999995281534568,C0030,0.9999995114576333
C0044,C0168,0.9999999110098586,C0187,0.9999999048696986,C0196,0.9999999028674178
C0045,C0041,0.9999999698324606,C0156,0.9999999661012848,C0068,0.9999999646197332
C0046,C0087,0.9999999717428815,C0102,0.9999999697477966,C0173,0.9999999671187476
C0047,C0165,0.9999999266109887,C0113,0.9999999168033489,C0084,0.9999999136495628
C0048,C0099,0.9999999551390787,C0082,0.9999999544469057,C0104,0.9999999518599088
C0049,C0010,0.9999996741872684,C0111,0.9999994838160438,C0094,0.999999471026049
C0050,C0115,0.9999999983619392,C0141,0.9999999395316127,C0096,0.9999999329655442
C0051,C0100,0.9999999645942256,C0188,0.9999999640914745,C0059,0.9999999615431276
C0052,C0175,0.9999998922943609,C0162,0.9999998869706158,C0045,0.9999998854765955
C0053,C0087,0.9999999693609174,C0102,0.9999999682641034,C0046,0.9999999664775333
C0054,C0082,0.9999999821843805,C0059,0.999999982144044,C0188,0.9999999818703068
C0055,C0175,0.9999999257295599,C0004,0.9999999167356892,C0162,0.9999999164986684
C0056,C0041,0.9999999369735126,C0156,0.9999999368149379,C0045,0.9999999356414454
C0057,C0065,0.9999999671828076,C0028,0.9999999649225864,C0143,0.999999960621749
C0058,C0150,0.999999253923237,C0141,0.9999968126439781,C0096,0.9999967972733691
C0059,C0054,0.999999982144044,C0188,0.9999999799932071,C0082,0.9999999789607948
C0060,C0151,0.9999499512221209,C0033,0.9998555996295475,C0097,0.9998435299923417
C0061,C0051,0.9999998752509955,C0100,0.999999870639402,C0188,0.9999998699492239
C0062,C0075,0.999999795129014,C0136,0.9999997869303453,C0008,0.9999997671261786
C0063,C0156,0.9999997273940082,C0065,0.9999997227413222,C0068,0.9999997202393235
C0064,C0104,0.9999999574711819,C0099,0.9999999541347983,C0163,0.9999999517887469
C0065,C0028,0.9999999807285664,C0143,0.9999999766047706,C0145,0.9999999748131392
C0066,C0141,0.9999999480648879,C0168,0.9999999457694329,C0196,0.9999999444482602
C0067,C0102,0.9999999568247794,C0065,0.9999999565272464,C0143,0.9999999550927803
C0068,C0156,0.9999999768614206,C0041,0.9999999717445941,C0012,0.999999965482496
C0069,C0065,0.9999999299359037,C0028,0.9999999278789351,C0143,0.9999999259797725
C0070,C0045,0.9999999348296669,C0041,0.9999999306537051,C0156,0.9999999254790596
C0071,C0136,0.9999997118622781,C0075,0.9999997085699406,C0008,0.9999996682067281
C0072,C0004,0.999999926241838,C0165,0.9999999237588186,C0175,0.999999920591442
C0073,C0075,0.9999998654517511,C0136,0.9999998546816599,C0008,0.9999998402148814
C0074,C0141,0.9999999380923079,C0096,0.9999999327467763,C0023,0.9999999230939557
C0075,C0136,0.999999953558728,C0008,0.9999999524612875,C0113,0.9999999406042285
C0076,C0075,0.9999998909130502,C0008,0.9999998802054455,C0113,0.9999998763235934
C0077,C0111,0.9999991269744926,C0121,0.9999987490003032,C0094,0.9999987098467022
C0078,C0044,0.9999994350712961,C0168,0.9999994091448005,C0187,0.999999401357477
C0079,C0051,0.9999999568308262,C0188,0.9999999539310049,C0100,0.9999999520683374
C0080,C0054,0.9999994996798128,C0059,0.9999994974093489,C0188,0.9999994972518846
C0081,C0045,0.9999999375808788,C0090,0.9999999272976849,C0041,0.9999999244523624
C0082,C0054,0.9999999821843805,C0059,0.9999999789607948,C0188,0.9999999778578766
C0083,C0176,0.9999987869567114,C0091,0.9999987277115611,C0109,0.999998696888132
C0084,C0165,0.9999999630524564,C0113,0.9999999507174034,C0017,0.9999999488369523
C0085,C0096,0.9999999106200539,C0141,0.999999908023033,C0023,0.9999999069553188
C0086,C0075,0.9999999171882701,C0008,0.9999999060179212,C0113,0.99999990165054
C0087,C0163,0.999999972692372,C0046,0.9999999717428815,C0148,0.9999999712012241
